code,name,market,ticker,as_of,beta60,alpha60,er60,beta120,alpha120,er120,beta240,alpha240,er240
4577,達航科技股份有限公司,OTC,4577.TWO,2026-08-26,0.8019,-0.779,-0.278,0.9322,-0.3605,0.6929,1.0827,0.6607,0.5794
4580,捷流閥業股份有限公司,OTC,4580.TWO,2026-08-26,0.1654,0.021,-0.0454,0.1871,-0.0575,0.1511,0.1515,-0.0433,0.094
4584,君帆工業股份有限公司,OTC,4584.TWO,2026-08-26,0.0956,-0.068,-0.0199,0.0484,-0.0263,0.0502,0.0692,-0.2706,0.0511
4609,唐鋒實業股份有限公司,OTC,4609.TWO,2026-08-26,0.2465,-0.383,-0.0751,0.2196,0.0338,0.1747,0.1221,-0.17,0.0787
4702,中美聯合實業股份有限公司,OTC,4702.TWO,2026-08-26,0.1989,0.2162,-0.0577,0.1433,-0.0586,0.1192,0.1675,-0.0628,0.1023
4706,大恭化學工業股份有限公司,OTC,4706.TWO,2026-08-26,0.0506,0.2049,-0.0035,0.0314,0.1929,0.0378,0.0335,0.1778,0.0325
4707,磐亞股份有限公司,OTC,4707.TWO,2026-08-26,0.8825,3.6965,-0.3074,0.7272,2.4484,0.5438,0.6578,1.164,0.3579
4711,永純化學工業股份有限公司,OTC,4711.TWO,2026-08-26,0.2443,0.2916,-0.0743,0.2114,0.1753,0.1687,0.2366,0.0412,0.1383
4714,永捷創新科技股份有限公司,OTC,4714.TWO,2026-08-26,0.4829,-0.4973,-0.1614,0.5632,-0.9558,0.4246,0.5931,-0.6958,0.3242
4716,大立高分子工業股份有限公司,OTC,4716.TWO,2026-08-26,0.357,0.8548,-0.1154,0.3361,0.2623,0.2594,0.3987,0.1051,0.2228
4721,美琪瑪國際股份有限公司,OTC,4721.TWO,2026-08-26,0.8599,-0.2628,-0.2992,0.8427,-0.0433,0.6278,0.8396,-0.3815,0.4527
4726,永昕生物醫藥股份有限公司,OTC,4726.TWO,2026-08-26,0.257,-0.2622,-0.0789,0.1974,-0.7343,0.1586,0.2039,-0.5134,0.1213
4728,雙美生物科技股份有限公司,OTC,4728.TWO,2026-08-26,-0.0202,0.23,0.0224,-0.0511,0.1695,-0.0222,0.0094,0.0206,0.0199
4729,熒茂光學股份有限公司,OTC,4729.TWO,2026-08-26,0.8017,-0.7496,-0.2779,0.5889,-0.5092,0.4433,0.6507,-0.6165,0.3542
4735,豪展醫療科技股份有限公司,OTC,4735.TWO,2026-08-26,0.1974,1.1602,-0.0571,0.1824,0.4772,0.1476,0.1857,0.0959,0.1118
4741,泓瀚科技股份有限公司,OTC,4741.TWO,2026-08-26,0.5396,-0.9334,-0.1821,0.6846,1.1384,0.5128,0.6216,0.4609,0.339
4743,合一生技股份有限公司,OTC,4743.TWO,2026-08-26,0.5497,0.0306,-0.1858,0.4875,-0.4777,0.3695,0.5081,-0.6434,0.2799
4744,皇將科技股份有限公司,OTC,4744.TWO,2026-08-26,-0.1603,-0.8564,0.0736,0.0205,0.0521,0.0299,0.1087,0.0565,0.0717
4745,合富醫療控股股份有限公司,OTC,4745.TWO,2026-08-26,0.3076,-0.9977,-0.0974,0.371,-1.1373,0.2848,0.3764,-0.4181,0.2112
4747,強生化學製藥廠股份有限公司,OTC,4747.TWO,2026-08-26,0.0528,0.1353,-0.0043,0.0432,0.1478,0.0464,0.0872,-0.1217,0.0605
4749,新應材股份有限公司,OTC,4749.TWO,2026-08-26,0.9297,-0.9467,-0.3247,1.0406,-0.8913,0.7717,1.0298,-0.4634,0.5518
4754,國碳科技股份有限公司,OTC,4754.TWO,2026-08-26,0.1528,0.3795,-0.0408,0.1034,0.0813,0.0902,0.1043,-0.0194,0.0694
